run173 | epochs: 37 | time (s): 34.71 | final validation loss: 0.4627945
run174 | epochs: 17 | time (s): 15.62 | final validation loss: 0.3921813
run175 | epochs: 13 | time (s): 12.66 | final validation loss: 0.3970999
run176 | epochs: 7 | time (s): 6.51 | final validation loss: 0.3650491
run177 | epochs: 5 | time (s): 5.05 | final validation loss: 0.3593699
run178 | epochs: 5 | time (s): 6.00 | final validation loss: 0.3627305
run179 | epochs: 4 | time (s): 6.22 | final validation loss: 0.3607256
run180 | epochs: 70 | time (s): 49.65 | final validation loss: 0.4029933
run181 | epochs: 44 | time (s): 31.22 | final validation loss: 0.3974020
run182 | epochs: 25 | time (s): 18.02 | final validation loss: 0.3826425
run183 | epochs: 26 | time (s): 19.10 | final validation loss: 0.3688908
run184 | epochs: 17 | time (s): 11.87 | final validation loss: 0.3613247
run185 | epochs: 17 | time (s): 13.34 | final validation loss: 0.3585605
run186 | epochs: 13 | time (s): 9.64 | final validation loss: 0.3546018
run187 | epochs: 10 | time (s): 7.95 | final validation loss: 0.3558275
run188 | epochs: 10 | time (s): 9.23 | final validation loss: 0.3525150
run189 | epochs: 9 | time (s): 11.41 | final validation loss: 0.3549444
run190 | epochs: 80 | time (s): 65.43 | final validation loss: 0.4259172
run191 | epochs: 50 | time (s): 39.73 | final validation loss: 0.4040484
run192 | epochs: 31 | time (s): 24.44 | final validation loss: 0.4215861
run193 | epochs: 22 | time (s): 17.42 | final validation loss: 0.3814723
run194 | epochs: 13 | time (s): 10.26 | final validation loss: 0.3751570
run195 | epochs: 10 | time (s): 8.09 | final validation loss: 0.3660824
run196 | epochs: 8 | time (s): 6.51 | final validation loss: 0.3558687
run197 | epochs: 6 | time (s): 5.10 | final validation loss: 0.3571757
run198 | epochs: 5 | time (s): 5.70 | final validation loss: 0.3595356
run199 | epochs: 4 | time (s): 6.14 | final validation loss: 0.3525959
run200 | epochs: 63 | time (s): 55.43 | final validation loss: 0.4259757
run201 | epochs: 50 | time (s): 44.22 | final validation loss: 0.4400079
run202 | epochs: 45 | time (s): 40.65 | final validation loss: 0.4314221
run203 | epochs: 37 | time (s): 33.46 | final validation loss: 0.4131857
run204 | epochs: 17 | time (s): 15.30 | final validation loss: 0.3910008
run205 | epochs: 13 | time (s): 11.79 | final validation loss: 0.3817222
run206 | epochs: 7 | time (s): 6.71 | final validation loss: 0.3667735
run207 | epochs: 5 | time (s): 5.36 | final validation loss: 0.3538600
run208 | epochs: 5 | time (s): 5.95 | final validation loss: 0.3640256
run209 | epochs: 4 | time (s): 6.17 | final validation loss: 0.3574315
run210 | epochs: 70 | time (s): 47.05 | final validation loss: 0.4263346
run211 | epochs: 44 | time (s): 31.10 | final validation loss: 0.4175038
run212 | epochs: 25 | time (s): 17.18 | final validation loss: 0.3846267
run213 | epochs: 26 | time (s): 17.97 | final validation loss: 0.3816522
run214 | epochs: 17 | time (s): 11.86 | final validation loss: 0.3700209
run215 | epochs: 17 | time (s): 12.03 | final validation loss: 0.3633943
run216 | epochs: 13 | time (s): 9.92 | final validation loss: 0.3598594
run217 | epochs: 10 | time (s): 7.85 | final validation loss: 0.3520387
run218 | epochs: 10 | time (s): 9.41 | final validation loss: 0.3572754
run219 | epochs: 9 | time (s): 11.12 | final validation loss: 0.3826929
run220 | epochs: 80 | time (s): 62.76 | final validation loss: 0.4074735
run221 | epochs: 50 | time (s): 45.38 | final validation loss: 0.4128062
run222 | epochs: 31 | time (s): 32.80 | final validation loss: 0.3946948
run223 | epochs: 22 | time (s): 23.89 | final validation loss: 0.3876056
run224 | epochs: 13 | time (s): 13.30 | final validation loss: 0.3865808
run225 | epochs: 10 | time (s): 8.67 | final validation loss: 0.3586882
run226 | epochs: 8 | time (s): 7.93 | final validation loss: 0.3653813
run227 | epochs: 6 | time (s): 5.67 | final validation loss: 0.3571709
run228 | epochs: 5 | time (s): 5.64 | final validation loss: 0.3576385
run229 | epochs: 4 | time (s): 6.21 | final validation loss: 0.3528337
run230 | epochs: 63 | time (s): 67.14 | final validation loss: 0.4509884
run231 | epochs: 50 | time (s): 45.19 | final validation loss: 0.5923121
run232 | epochs: 45 | time (s): 39.54 | final validation loss: 0.4480660
run233 | epochs: 37 | time (s): 42.24 | final validation loss: 0.4194318
run234 | epochs: 17 | time (s): 20.75 | final validation loss: 0.3768062
run235 | epochs: 13 | time (s): 16.39 | final validation loss: 0.3864850
run236 | epochs: 7 | time (s): 8.64 | final validation loss: 0.3659441
run237 | epochs: 5 | time (s): 6.10 | final validation loss: 0.3751597
run238 | epochs: 5 | time (s): 7.37 | final validation loss: 0.3597992
run239 | epochs: 4 | time (s): 7.48 | final validation loss: 0.3628450
run240 | epochs: 70 | time (s): 61.04 | final validation loss: 0.4036460
run241 | epochs: 44 | time (s): 39.74 | final validation loss: 0.3973185
run242 | epochs: 25 | time (s): 23.40 | final validation loss: 0.3799786
run243 | epochs: 26 | time (s): 22.36 | final validation loss: 0.3739527
run244 | epochs: 17 | time (s): 14.90 | final validation loss: 0.3632639
run245 | epochs: 17 | time (s): 15.44 | final validation loss: 0.3562898
run246 | epochs: 13 | time (s): 11.76 | final validation loss: 0.3526600
run247 | epochs: 10 | time (s): 10.03 | final validation loss: 0.3540761
run248 | epochs: 10 | time (s): 11.16 | final validation loss: 0.3573011
run249 | epochs: 9 | time (s): 12.64 | final validation loss: 0.3661707
run250 | epochs: 80 | time (s): 80.94 | final validation loss: 0.4113874
run251 | epochs: 50 | time (s): 50.47 | final validation loss: 0.4002955
run252 | epochs: 31 | time (s): 31.44 | final validation loss: 0.4067645
run253 | epochs: 22 | time (s): 22.90 | final validation loss: 0.3771430
run254 | epochs: 13 | time (s): 13.11 | final validation loss: 0.3725457
run255 | epochs: 10 | time (s): 10.52 | final validation loss: 0.3617450
run256 | epochs: 8 | time (s): 8.29 | final validation loss: 0.3581554
run257 | epochs: 6 | time (s): 6.32 | final validation loss: 0.3528652
run258 | epochs: 5 | time (s): 6.35 | final validation loss: 0.3583254
run259 | epochs: 4 | time (s): 6.30 | final validation loss: 0.3494080
run260 | epochs: 63 | time (s): 71.07 | final validation loss: 0.4178747
run261 | epochs: 50 | time (s): 59.81 | final validation loss: 0.4473073
run262 | epochs: 45 | time (s): 53.15 | final validation loss: 0.4301876
run263 | epochs: 37 | time (s): 43.70 | final validation loss: 0.4044947
run264 | epochs: 17 | time (s): 20.17 | final validation loss: 0.3891022
run265 | epochs: 13 | time (s): 16.36 | final validation loss: 0.3832726
run266 | epochs: 7 | time (s): 9.07 | final validation loss: 0.3621542
run267 | epochs: 5 | time (s): 6.27 | final validation loss: 0.3588621
run268 | epochs: 5 | time (s): 7.37 | final validation loss: 0.3647131
run269 | epochs: 4 | time (s): 7.34 | final validation loss: 0.3620060
run270 | epochs: 70 | time (s): 61.22 | final validation loss: 0.4362634
run271 | epochs: 44 | time (s): 39.30 | final validation loss: 0.3919434
run272 | epochs: 25 | time (s): 22.67 | final validation loss: 0.3860960
run273 | epochs: 26 | time (s): 23.92 | final validation loss: 0.3810660
run274 | epochs: 17 | time (s): 17.00 | final validation loss: 0.3674198
run275 | epochs: 17 | time (s): 16.92 | final validation loss: 0.3601712
run276 | epochs: 13 | time (s): 12.05 | final validation loss: 0.3579884
run277 | epochs: 10 | time (s): 9.58 | final validation loss: 0.3517056
run278 | epochs: 10 | time (s): 11.05 | final validation loss: 0.3602519
run279 | epochs: 9 | time (s): 12.25 | final validation loss: 0.3510357
run280 | epochs: 80 | time (s): 80.89 | final validation loss: 0.4244582
run281 | epochs: 50 | time (s): 47.62 | final validation loss: 0.4241651
run282 | epochs: 31 | time (s): 29.59 | final validation loss: 0.4204457
run283 | epochs: 22 | time (s): 21.12 | final validation loss: 0.3813593
run284 | epochs: 13 | time (s): 12.54 | final validation loss: 0.3813740
run285 | epochs: 10 | time (s): 10.12 | final validation loss: 0.3637117
run286 | epochs: 8 | time (s): 7.84 | final validation loss: 0.3582628
run287 | epochs: 6 | time (s): 6.09 | final validation loss: 0.3525546
run288 | epochs: 5 | time (s): 5.85 | final validation loss: 0.3505175
run289 | epochs: 4 | time (s): 5.99 | final validation loss: 0.3591856
run290 | epochs: 63 | time (s): 67.32 | final validation loss: 0.4024294
run291 | epochs: 50 | time (s): 55.57 | final validation loss: 0.4690241
run292 | epochs: 45 | time (s): 50.39 | final validation loss: 0.4166440
run293 | epochs: 37 | time (s): 40.72 | final validation loss: 0.4196000
run294 | epochs: 17 | time (s): 18.87 | final validation loss: 0.3796746
run295 | epochs: 13 | time (s): 14.96 | final validation loss: 0.3817461
run296 | epochs: 7 | time (s): 7.70 | final validation loss: 0.3708022
run297 | epochs: 5 | time (s): 5.65 | final validation loss: 0.3593393
