run130.yaml: Model A | lr=0.0005 | dropout=0.75 | weight_decay=0.0001
run131.yaml: Model A | lr=0.0005 | dropout=0.85 | weight_decay=0.001
run132.yaml: Model A | lr=0.0005 | dropout=0.85 | weight_decay=0.005
run133.yaml: Model A | lr=0.0005 | dropout=0.85 | weight_decay=0.0005
run134.yaml: Model A | lr=0.0005 | dropout=0.85 | weight_decay=0.0001
run135.yaml: Model A | lr=0.0005 | dropout=0.95 | weight_decay=0.001
run136.yaml: Model A | lr=0.0005 | dropout=0.95 | weight_decay=0.005
run137.yaml: Model A | lr=0.0005 | dropout=0.95 | weight_decay=0.0005
run138.yaml: Model A | lr=0.0005 | dropout=0.95 | weight_decay=0.0001
run139.yaml: Model A | lr=0.001 | dropout=0.55 | weight_decay=0.001
run140.yaml: Model A | lr=0.001 | dropout=0.55 | weight_decay=0.005
run141.yaml: Model A | lr=0.001 | dropout=0.55 | weight_decay=0.0005
run142.yaml: Model A | lr=0.001 | dropout=0.55 | weight_decay=0.0001
run143.yaml: Model A | lr=0.001 | dropout=0.65 | weight_decay=0.001
run144.yaml: Model A | lr=0.001 | dropout=0.65 | weight_decay=0.005
run145.yaml: Model A | lr=0.001 | dropout=0.65 | weight_decay=0.0005
run146.yaml: Model A | lr=0.001 | dropout=0.65 | weight_decay=0.0001
run147.yaml: Model A | lr=0.001 | dropout=0.75 | weight_decay=0.001
run148.yaml: Model A | lr=0.001 | dropout=0.75 | weight_decay=0.005
run149.yaml: Model A | lr=0.001 | dropout=0.75 | weight_decay=0.0005
run150.yaml: Model A | lr=0.001 | dropout=0.75 | weight_decay=0.0001
run151.yaml: Model A | lr=0.001 | dropout=0.85 | weight_decay=0.001
run152.yaml: Model A | lr=0.001 | dropout=0.85 | weight_decay=0.005
run153.yaml: Model A | lr=0.001 | dropout=0.85 | weight_decay=0.0005
run154.yaml: Model A | lr=0.001 | dropout=0.85 | weight_decay=0.0001
run155.yaml: Model A | lr=0.001 | dropout=0.95 | weight_decay=0.001
run156.yaml: Model A | lr=0.001 | dropout=0.95 | weight_decay=0.005
run157.yaml: Model A | lr=0.001 | dropout=0.95 | weight_decay=0.0005
run158.yaml: Model A | lr=0.001 | dropout=0.95 | weight_decay=0.0001
run159.yaml: Model B | lr=0.0001 | dropout=0.55 | weight_decay=0.001
run160.yaml: Model B | lr=0.0001 | dropout=0.55 | weight_decay=0.005
run161.yaml: Model B | lr=0.0001 | dropout=0.55 | weight_decay=0.0005
run162.yaml: Model B | lr=0.0001 | dropout=0.55 | weight_decay=0.0001
run163.yaml: Model B | lr=0.0001 | dropout=0.65 | weight_decay=0.001
run164.yaml: Model B | lr=0.0001 | dropout=0.65 | weight_decay=0.005
run165.yaml: Model B | lr=0.0001 | dropout=0.65 | weight_decay=0.0005
run166.yaml: Model B | lr=0.0001 | dropout=0.65 | weight_decay=0.0001
run167.yaml: Model B | lr=0.0001 | dropout=0.75 | weight_decay=0.001
run168.yaml: Model B | lr=0.0001 | dropout=0.75 | weight_decay=0.005
run169.yaml: Model B | lr=0.0001 | dropout=0.75 | weight_decay=0.0005
run170.yaml: Model B | lr=0.0001 | dropout=0.75 | weight_decay=0.0001
run171.yaml: Model B | lr=0.0001 | dropout=0.85 | weight_decay=0.001
run172.yaml: Model B | lr=0.0001 | dropout=0.85 | weight_decay=0.005
run173.yaml: Model B | lr=0.0001 | dropout=0.85 | weight_decay=0.0005
run174.yaml: Model B | lr=0.0001 | dropout=0.85 | weight_decay=0.0001
run175.yaml: Model B | lr=0.0001 | dropout=0.95 | weight_decay=0.001
run176.yaml: Model B | lr=0.0001 | dropout=0.95 | weight_decay=0.005
run177.yaml: Model B | lr=0.0001 | dropout=0.95 | weight_decay=0.0005
run178.yaml: Model B | lr=0.0001 | dropout=0.95 | weight_decay=0.0001
run179.yaml: Model B | lr=0.0005 | dropout=0.55 | weight_decay=0.001
run180.yaml: Model B | lr=0.0005 | dropout=0.55 | weight_decay=0.005
run181.yaml: Model B | lr=0.0005 | dropout=0.55 | weight_decay=0.0005
run182.yaml: Model B | lr=0.0005 | dropout=0.55 | weight_decay=0.0001
run183.yaml: Model B | lr=0.0005 | dropout=0.65 | weight_decay=0.001
run184.yaml: Model B | lr=0.0005 | dropout=0.65 | weight_decay=0.005
run185.yaml: Model B | lr=0.0005 | dropout=0.65 | weight_decay=0.0005
run186.yaml: Model B | lr=0.0005 | dropout=0.65 | weight_decay=0.0001
run187.yaml: Model B | lr=0.0005 | dropout=0.75 | weight_decay=0.001
run188.yaml: Model B | lr=0.0005 | dropout=0.75 | weight_decay=0.005
run189.yaml: Model B | lr=0.0005 | dropout=0.75 | weight_decay=0.0005
run190.yaml: Model B | lr=0.0005 | dropout=0.75 | weight_decay=0.0001
run191.yaml: Model B | lr=0.0005 | dropout=0.85 | weight_decay=0.001
run192.yaml: Model B | lr=0.0005 | dropout=0.85 | weight_decay=0.005
run193.yaml: Model B | lr=0.0005 | dropout=0.85 | weight_decay=0.0005
run194.yaml: Model B | lr=0.0005 | dropout=0.85 | weight_decay=0.0001
run195.yaml: Model B | lr=0.0005 | dropout=0.95 | weight_decay=0.001
run196.yaml: Model B | lr=0.0005 | dropout=0.95 | weight_decay=0.005
run197.yaml: Model B | lr=0.0005 | dropout=0.95 | weight_decay=0.0005
run198.yaml: Model B | lr=0.0005 | dropout=0.95 | weight_decay=0.0001
run199.yaml: Model B | lr=0.001 | dropout=0.55 | weight_decay=0.001
run200.yaml: Model B | lr=0.001 | dropout=0.55 | weight_decay=0.005
run201.yaml: Model B | lr=0.001 | dropout=0.55 | weight_decay=0.0005
run202.yaml: Model B | lr=0.001 | dropout=0.55 | weight_decay=0.0001
run203.yaml: Model B | lr=0.001 | dropout=0.65 | weight_decay=0.001
