run189.yaml | seed:7 | 1-layer | 512 neurons
run190.yaml | seed:7 | 2-layer | 1-1 neurons
run191.yaml | seed:7 | 2-layer | 2-1 neurons
run192.yaml | seed:7 | 2-layer | 4-2 neurons
run193.yaml | seed:7 | 2-layer | 8-4 neurons
run194.yaml | seed:7 | 2-layer | 16-8 neurons
run195.yaml | seed:7 | 2-layer | 32-16 neurons
run196.yaml | seed:7 | 2-layer | 64-32 neurons
run197.yaml | seed:7 | 2-layer | 128-64 neurons
run198.yaml | seed:7 | 2-layer | 256-128 neurons
run199.yaml | seed:7 | 2-layer | 512-256 neurons
run200.yaml | seed:7 | 3-layer | 1-1-1 neurons
run201.yaml | seed:7 | 3-layer | 2-1-1 neurons
run202.yaml | seed:7 | 3-layer | 4-2-1 neurons
run203.yaml | seed:7 | 3-layer | 8-4-2 neurons
run204.yaml | seed:7 | 3-layer | 16-8-4 neurons
run205.yaml | seed:7 | 3-layer | 32-16-8 neurons
run206.yaml | seed:7 | 3-layer | 64-32-16 neurons
run207.yaml | seed:7 | 3-layer | 128-64-32 neurons
run208.yaml | seed:7 | 3-layer | 256-128-64 neurons
run209.yaml | seed:7 | 3-layer | 512-256-128 neurons
run210.yaml | seed:8 | 1-layer | 1 neurons
run211.yaml | seed:8 | 1-layer | 2 neurons
run212.yaml | seed:8 | 1-layer | 4 neurons
run213.yaml | seed:8 | 1-layer | 8 neurons
run214.yaml | seed:8 | 1-layer | 16 neurons
run215.yaml | seed:8 | 1-layer | 32 neurons
run216.yaml | seed:8 | 1-layer | 64 neurons
run217.yaml | seed:8 | 1-layer | 128 neurons
run218.yaml | seed:8 | 1-layer | 256 neurons
run219.yaml | seed:8 | 1-layer | 512 neurons
run220.yaml | seed:8 | 2-layer | 1-1 neurons
run221.yaml | seed:8 | 2-layer | 2-1 neurons
run222.yaml | seed:8 | 2-layer | 4-2 neurons
run223.yaml | seed:8 | 2-layer | 8-4 neurons
run224.yaml | seed:8 | 2-layer | 16-8 neurons
run225.yaml | seed:8 | 2-layer | 32-16 neurons
run226.yaml | seed:8 | 2-layer | 64-32 neurons
run227.yaml | seed:8 | 2-layer | 128-64 neurons
run228.yaml | seed:8 | 2-layer | 256-128 neurons
run229.yaml | seed:8 | 2-layer | 512-256 neurons
run230.yaml | seed:8 | 3-layer | 1-1-1 neurons
run231.yaml | seed:8 | 3-layer | 2-1-1 neurons
run232.yaml | seed:8 | 3-layer | 4-2-1 neurons
run233.yaml | seed:8 | 3-layer | 8-4-2 neurons
run234.yaml | seed:8 | 3-layer | 16-8-4 neurons
run235.yaml | seed:8 | 3-layer | 32-16-8 neurons
run236.yaml | seed:8 | 3-layer | 64-32-16 neurons
run237.yaml | seed:8 | 3-layer | 128-64-32 neurons
run238.yaml | seed:8 | 3-layer | 256-128-64 neurons
run239.yaml | seed:8 | 3-layer | 512-256-128 neurons
run240.yaml | seed:9 | 1-layer | 1 neurons
run241.yaml | seed:9 | 1-layer | 2 neurons
run242.yaml | seed:9 | 1-layer | 4 neurons
run243.yaml | seed:9 | 1-layer | 8 neurons
run244.yaml | seed:9 | 1-layer | 16 neurons
run245.yaml | seed:9 | 1-layer | 32 neurons
run246.yaml | seed:9 | 1-layer | 64 neurons
run247.yaml | seed:9 | 1-layer | 128 neurons
run248.yaml | seed:9 | 1-layer | 256 neurons
run249.yaml | seed:9 | 1-layer | 512 neurons
run250.yaml | seed:9 | 2-layer | 1-1 neurons
run251.yaml | seed:9 | 2-layer | 2-1 neurons
run252.yaml | seed:9 | 2-layer | 4-2 neurons
run253.yaml | seed:9 | 2-layer | 8-4 neurons
run254.yaml | seed:9 | 2-layer | 16-8 neurons
run255.yaml | seed:9 | 2-layer | 32-16 neurons
run256.yaml | seed:9 | 2-layer | 64-32 neurons
run257.yaml | seed:9 | 2-layer | 128-64 neurons
run258.yaml | seed:9 | 2-layer | 256-128 neurons
run259.yaml | seed:9 | 2-layer | 512-256 neurons
run260.yaml | seed:9 | 3-layer | 1-1-1 neurons
run261.yaml | seed:9 | 3-layer | 2-1-1 neurons
run262.yaml | seed:9 | 3-layer | 4-2-1 neurons
run263.yaml | seed:9 | 3-layer | 8-4-2 neurons
run264.yaml | seed:9 | 3-layer | 16-8-4 neurons
run265.yaml | seed:9 | 3-layer | 32-16-8 neurons
run266.yaml | seed:9 | 3-layer | 64-32-16 neurons
run267.yaml | seed:9 | 3-layer | 128-64-32 neurons
run268.yaml | seed:9 | 3-layer | 256-128-64 neurons
run269.yaml | seed:9 | 3-layer | 512-256-128 neurons
run270.yaml | seed:10 | 1-layer | 1 neurons
run271.yaml | seed:10 | 1-layer | 2 neurons
run272.yaml | seed:10 | 1-layer | 4 neurons
run273.yaml | seed:10 | 1-layer | 8 neurons
run274.yaml | seed:10 | 1-layer | 16 neurons
run275.yaml | seed:10 | 1-layer | 32 neurons
run276.yaml | seed:10 | 1-layer | 64 neurons
run277.yaml | seed:10 | 1-layer | 128 neurons
run278.yaml | seed:10 | 1-layer | 256 neurons
run279.yaml | seed:10 | 1-layer | 512 neurons
run280.yaml | seed:10 | 2-layer | 1-1 neurons
run281.yaml | seed:10 | 2-layer | 2-1 neurons
run282.yaml | seed:10 | 2-layer | 4-2 neurons
run283.yaml | seed:10 | 2-layer | 8-4 neurons
run284.yaml | seed:10 | 2-layer | 16-8 neurons
run285.yaml | seed:10 | 2-layer | 32-16 neurons
run286.yaml | seed:10 | 2-layer | 64-32 neurons
run287.yaml | seed:10 | 2-layer | 128-64 neurons
run288.yaml | seed:10 | 2-layer | 256-128 neurons
run289.yaml | seed:10 | 2-layer | 512-256 neurons
run290.yaml | seed:10 | 3-layer | 1-1-1 neurons
run291.yaml | seed:10 | 3-layer | 2-1-1 neurons
run292.yaml | seed:10 | 3-layer | 4-2-1 neurons
run293.yaml | seed:10 | 3-layer | 8-4-2 neurons
run294.yaml | seed:10 | 3-layer | 16-8-4 neurons
run295.yaml | seed:10 | 3-layer | 32-16-8 neurons
run296.yaml | seed:10 | 3-layer | 64-32-16 neurons
run297.yaml | seed:10 | 3-layer | 128-64-32 neurons
run298.yaml | seed:10 | 3-layer | 256-128-64 neurons
run299.yaml | seed:10 | 3-layer | 512-256-128 neurons
run300.yaml | seed:1 | 2-layer | 48-24 neurons
run301.yaml | seed:2 | 2-layer | 48-24 neurons
run302.yaml | seed:3 | 2-layer | 48-24 neurons
run303.yaml | seed:4 | 2-layer | 48-24 neurons
run304.yaml | seed:5 | 2-layer | 48-24 neurons
run305.yaml | seed:6 | 2-layer | 48-24 neurons
run306.yaml | seed:7 | 2-layer | 48-24 neurons
run307.yaml | seed:8 | 2-layer | 48-24 neurons
run308.yaml | seed:9 | 2-layer | 48-24 neurons
run309.yaml | seed:10 | 2-layer | 48-24 neurons
